Overview - SIM3 KPI;;;;;;
;;;;;;
Category;KPI;Alias;UoM;Day;Value;Target
Efficiency;3 / KE S2;  ;%;05 Dec 2022;58,00;63,00
Efficiency;3 / KE S2;  ;%;06 Dec 2022;52,00;63,00
Efficiency;3 / KE S2;  ;%;07 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;08 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;09 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;10 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;11 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;12 Dec 2022;50,00;63,00
Efficiency;3 / KE S2;  ;%;13 Dec 2022;50,00;63,00
Efficiency;3 / KE S2;  ;%;14 Dec 2022;56,00;63,00
Efficiency;3 / KE S2;  ;%;15 Dec 2022;55,00;63,00
Efficiency;3 / KE S2;  ;%;16 Dec 2022;65,00;63,00
Efficiency;3 / KE S2;  ;%;17 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;18 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;19 Dec 2022;68,60;63,00
Efficiency;3 / KE S2;  ;%;20 Dec 2022;64,00;63,00
Efficiency;3 / KE S2;  ;%;21 Dec 2022;64,00;63,00
Efficiency;3 / KE S2;  ;%;22 Dec 2022;64,00;63,00
Efficiency;3 / KE S2;  ;%;23 Dec 2022;62,00;63,00
Efficiency;3 / KE S2;  ;%;24 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;25 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;26 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;27 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;28 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;29 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;30 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;31 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;01 Jan 2023; ; 
Efficiency;3 / KE S2;  ;%;02 Jan 2023;67,00;63,00
Efficiency;3 / KE S2;  ;%;03 Jan 2023;55,00;63,00
Efficiency;3 / KE S2;  ;%;04 Jan 2023;63,00;63,00
Efficiency;3 / KE S2;  ;%;05 Jan 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;06 Jan 2023;67,00;63,00
Efficiency;3 / KE S2;  ;%;07 Jan 2023; ; 
Efficiency;3 / KE S2;  ;%;08 Jan 2023;67,00;63,00
Efficiency;3 / KE S2;  ;%;09 Jan 2023;56,00;63,00
Efficiency;3 / KE S2;  ;%;10 Jan 2023;53,00;63,00
Efficiency;3 / KE S2;  ;%;11 Jan 2023;54,00;60,00
Efficiency;3 / KE S2;  ;%;12 Jan 2023;56,00;60,00
Efficiency;3 / KE S2;  ;%;13 Jan 2023;54,00;60,00
Efficiency;3 / KE S2;  ;%;14 Jan 2023; ; 
Efficiency;3 / KE S2;  ;%;15 Jan 2023; ; 
Efficiency;3 / KE S2;  ;%;16 Jan 2023;60,00;60,00
Efficiency;3 / KE S2;  ;%;17 Jan 2023;53,00;60,00
Efficiency;3 / KE S2;  ;%;18 Jan 2023;54,00;60,00
Efficiency;3 / KE S2;  ;%;19 Jan 2023;45,60;60,00
Efficiency;3 / KE S2;  ;%;20 Jan 2023;62,00;60,00
Efficiency;3 / KE S2;  ;%;21 Jan 2023; ; 
Efficiency;3 / KE S2;  ;%;22 Jan 2023;62,00;60,00
Efficiency;3 / KE S2;  ;%;23 Jan 2023;51,00;60,00
Efficiency;3 / KE S2;  ;%;24 Jan 2023;47,00;60,00
Efficiency;3 / KE S2;  ;%;25 Jan 2023;49,00;60,00
Efficiency;3 / KE S2;  ;%;26 Jan 2023;63,00;60,00
Efficiency;3 / KE S2;  ;%;27 Jan 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;28 Jan 2023; ; 
Efficiency;3 / KE S2;  ;%;29 Jan 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;30 Jan 2023;70,00;63,00
Efficiency;3 / KE S2;  ;%;31 Jan 2023; ; 
Efficiency;3 / KE S2;  ;%;01 Feb 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;02 Feb 2023;64,00;63,00
Efficiency;3 / KE S2;  ;%;03 Feb 2023;65,00;63,00
Efficiency;3 / KE S2;  ;%;04 Feb 2023;119,00;63,00
Efficiency;3 / KE S2;  ;%;05 Feb 2023; ; 
Efficiency;3 / KE S2;  ;%;06 Feb 2023;68,00;63,00
Efficiency;3 / KE S2;  ;%;07 Feb 2023;63,00;63,00
Efficiency;3 / KE S2;  ;%;08 Feb 2023;67,00;63,00
Efficiency;3 / KE S2;  ;%;09 Feb 2023;63,00;63,00
Efficiency;3 / KE S2;  ;%;10 Feb 2023;62,00;63,00
Efficiency;3 / KE S2;  ;%;11 Feb 2023;69,00;63,00
Efficiency;3 / KE S2;  ;%;12 Feb 2023; ; 
Efficiency;3 / KE S2;  ;%;13 Feb 2023;69,00;63,00
Efficiency;3 / KE S2;  ;%;14 Feb 2023;58,00;63,00
