Category;KPI;Alias;UoM;Day;Value;Target
Service Level;QTE RM6 S2;  ;Number;05 Dec 2022;75,00;90,00
Service Level;QTE RM6 S2;  ;Number;06 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;07 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;08 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;09 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;10 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;11 Dec 2022;80,00;90,00
Service Level;QTE RM6 S2;  ;Number;12 Dec 2022;72,00;90,00
Service Level;QTE RM6 S2;  ;Number;13 Dec 2022;58,00;90,00
Service Level;QTE RM6 S2;  ;Number;14 Dec 2022;77,00;90,00
Service Level;QTE RM6 S2;  ;Number;15 Dec 2022;77,00;90,00
Service Level;QTE RM6 S2;  ;Number;16 Dec 2022;88,00;90,00
Service Level;QTE RM6 S2;  ;Number;17 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;18 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;19 Dec 2022;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;20 Dec 2022;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;21 Dec 2022;88,00;90,00
Service Level;QTE RM6 S2;  ;Number;22 Dec 2022;86,00;90,00
Service Level;QTE RM6 S2;  ;Number;23 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;24 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;25 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;26 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;27 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;28 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;29 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;30 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;31 Dec 2022; ; 
Service Level;QTE RM6 S2;  ;Number;01 Jan 2023; ; 
Service Level;QTE RM6 S2;  ;Number;02 Jan 2023;85,00;90,00
Service Level;QTE RM6 S2;  ;Number;03 Jan 2023;75,00;90,00
Service Level;QTE RM6 S2;  ;Number;04 Jan 2023;87,00;90,00
Service Level;QTE RM6 S2;  ;Number;05 Jan 2023;75,00;90,00
Service Level;QTE RM6 S2;  ;Number;06 Jan 2023;85,00;90,00
Service Level;QTE RM6 S2;  ;Number;07 Jan 2023; ; 
Service Level;QTE RM6 S2;  ;Number;08 Jan 2023;85,00;90,00
Service Level;QTE RM6 S2;  ;Number;09 Jan 2023;93,00;90,00
Service Level;QTE RM6 S2;  ;Number;10 Jan 2023;94,00;90,00
Service Level;QTE RM6 S2;  ;Number;11 Jan 2023;85,00;90,00
Service Level;QTE RM6 S2;  ;Number;12 Jan 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;13 Jan 2023;78,00;90,00
Service Level;QTE RM6 S2;  ;Number;14 Jan 2023; ; 
Service Level;QTE RM6 S2;  ;Number;15 Jan 2023; ; 
Service Level;QTE RM6 S2;  ;Number;16 Jan 2023;82,00;90,00
Service Level;QTE RM6 S2;  ;Number;17 Jan 2023;87,00;90,00
Service Level;QTE RM6 S2;  ;Number;18 Jan 2023;81,00;90,00
Service Level;QTE RM6 S2;  ;Number;19 Jan 2023;64,00;90,00
Service Level;QTE RM6 S2;  ;Number;20 Jan 2023; ; 
Service Level;QTE RM6 S2;  ;Number;21 Jan 2023; ; 
Service Level;QTE RM6 S2;  ;Number;22 Jan 2023;90,00;90,00
Service Level;QTE RM6 S2;  ;Number;23 Jan 2023;85,00;90,00
Service Level;QTE RM6 S2;  ;Number;24 Jan 2023;62,00;90,00
Service Level;QTE RM6 S2;  ;Number;25 Jan 2023;75,00;90,00
Service Level;QTE RM6 S2;  ;Number;26 Jan 2023;87,00;90,00
Service Level;QTE RM6 S2;  ;Number;27 Jan 2023; ; 
Service Level;QTE RM6 S2;  ;Number;28 Jan 2023; ; 
Service Level;QTE RM6 S2;  ;Number;29 Jan 2023;88,00;90,00
Service Level;QTE RM6 S2;  ;Number;30 Jan 2023;89,00;90,00
Service Level;QTE RM6 S2;  ;Number;31 Jan 2023;74,00;100,00
Service Level;QTE RM6 S2;  ;Number;01 Feb 2023;112,00;100,00
Service Level;QTE RM6 S2;  ;Number;02 Feb 2023;110,00;100,00
Service Level;QTE RM6 S2;  ;Number;03 Feb 2023; ; 
Service Level;QTE RM6 S2;  ;Number;04 Feb 2023; ; 
Service Level;QTE RM6 S2;  ;Number;05 Feb 2023;131,00;100,00
Service Level;QTE RM6 S2;  ;Number;06 Feb 2023;96,00;100,00
Service Level;QTE RM6 S2;  ;Number;07 Feb 2023;88,00;100,00
