Category;KPI;Alias;UoM;Day;Value;Target
Efficiency;3 / KE S2;  ;%;01/01/2023; ; 
Efficiency;3 / KE S2;  ;%;02/01/2023;67;63
Efficiency;3 / KE S2;  ;%;03/01/2023;55;63
Efficiency;3 / KE S2;  ;%;04/01/2023;63;63
Efficiency;3 / KE S2;  ;%;05/01/2023;64;63
Efficiency;3 / KE S2;  ;%;06/01/2023;67;63
Efficiency;3 / KE S2;  ;%;07/01/2023; ; 
Efficiency;3 / KE S2;  ;%;08/01/2023;67;63
Efficiency;3 / KE S2;  ;%;09/01/2023;56;63
Efficiency;3 / KE S2;  ;%;10/01/2023;53;63
Efficiency;3 / KE S2;  ;%;11/01/2023;54;60
Efficiency;3 / KE S2;  ;%;12/01/2023;56;60
Efficiency;3 / KE S2;  ;%;13/01/2023;54;60
Efficiency;3 / KE S2;  ;%;14/01/2023; ; 
Efficiency;3 / KE S2;  ;%;15/01/2023; ; 
Efficiency;3 / KE S2;  ;%;16/01/2023;60;60
Efficiency;3 / KE S2;  ;%;17/01/2023;53;60
Efficiency;3 / KE S2;  ;%;18/01/2023;54;60
Efficiency;3 / KE S2;  ;%;19/01/2023;45,6;60
Efficiency;3 / KE S2;  ;%;20/01/2023;62;60
Efficiency;3 / KE S2;  ;%;21/01/2023; ; 
Efficiency;3 / KE S2;  ;%;22/01/2023;62;60
Efficiency;3 / KE S2;  ;%;23/01/2023;51;60
Efficiency;3 / KE S2;  ;%;24/01/2023;47;60
Efficiency;3 / KE S2;  ;%;25/01/2023;49;60
Efficiency;3 / KE S2;  ;%;26/01/2023;63;60
Efficiency;3 / KE S2;  ;%;27/01/2023;62;63
Efficiency;3 / KE S2;  ;%;28/01/2023; ; 
Efficiency;3 / KE S2;  ;%;29/01/2023;62;63
Efficiency;3 / KE S2;  ;%;30/01/2023;70;63
Efficiency;3 / KE S2;  ;%;31/01/2023; ; 
Efficiency;3 / KE S2;  ;%;01/03/2023;55;63
Efficiency;3 / KE S2;  ;%;02/03/2023;56;63
Efficiency;3 / KE S2;  ;%;03/03/2023;70;63
Efficiency;3 / KE S2;  ;%;04/03/2023; ; 
Efficiency;3 / KE S2;  ;%;05/03/2023;70;63
Efficiency;3 / KE S2;  ;%;06/03/2023;68;63
Efficiency;3 / KE S2;  ;%;07/03/2023;28;63
Efficiency;3 / KE S2;  ;%;08/03/2023;66;63
Efficiency;3 / KE S2;  ;%;09/03/2023;64;63
Efficiency;3 / KE S2;  ;%;10/03/2023;65;63
Efficiency;3 / KE S2;  ;%;11/03/2023; ; 
Efficiency;3 / KE S2;  ;%;12/03/2023;65;63
Efficiency;3 / KE S2;  ;%;13/03/2023;64;63
Efficiency;3 / KE S2;  ;%;14/03/2023;62;63
Efficiency;3 / KE S2;  ;%;15/03/2023;65;63
Efficiency;3 / KE S2;  ;%;16/03/2023;66;63
Efficiency;3 / KE S2;  ;%;17/03/2023;65;63
Efficiency;3 / KE S2;  ;%;18/03/2023; ; 
Efficiency;3 / KE S2;  ;%;19/03/2023;65;63
Efficiency;3 / KE S2;  ;%;20/03/2023;58;63
Efficiency;3 / KE S2;  ;%;21/03/2023;56;63
Efficiency;3 / KE S2;  ;%;22/03/2023;54;63
Efficiency;3 / KE S2;  ;%;23/03/2023;54;63
Efficiency;3 / KE S2;  ;%;24/03/2023;68;63
Efficiency;3 / KE S2;  ;%;25/03/2023; ; 
Efficiency;3 / KE S2;  ;%;26/03/2023;69;63
Efficiency;3 / KE S2;  ;%;27/03/2023;64;63
Efficiency;3 / KE S2;  ;%;28/03/2023;67;63
Efficiency;3 / KE S2;  ;%;29/03/2023;67;63
Efficiency;3 / KE S2;  ;%;30/03/2023;66;63
Efficiency;3 / KE S2;  ;%;31/03/2023;61;63
Efficiency;3 / KE S2;  ;%;01/06/2023;58;63
Efficiency;3 / KE S2;  ;%;02/06/2023;60;63
Efficiency;3 / KE S2;  ;%;03/06/2023; ; 
Efficiency;3 / KE S2;  ;%;04/06/2023;60;63
Efficiency;3 / KE S2;  ;%;05/06/2023;62;63
Efficiency;3 / KE S2;  ;%;06/06/2023;46;63
Efficiency;3 / KE S2;  ;%;07/06/2023;59,1;63
Efficiency;3 / KE S2;  ;%;08/06/2023; ; 
Efficiency;3 / KE S2;  ;%;01 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;01 Feb 2023;62;63
Efficiency;3 / KE S2;  ;%;01 May 2023;50;63
Efficiency;3 / KE S2;  ;%;02 Apr 2023;61;63
Efficiency;3 / KE S2;  ;%;02 Feb 2023;64;63
Efficiency;3 / KE S2;  ;%;02 May 2023;66;63
Efficiency;3 / KE S2;  ;%;03 Apr 2023;62;63
Efficiency;3 / KE S2;  ;%;03 Feb 2023;65;63
Efficiency;3 / KE S2;  ;%;03 May 2023;64;63
Efficiency;3 / KE S2;  ;%;04 Apr 2023;61;63
Efficiency;3 / KE S2;  ;%;04 Feb 2023;119;63
Efficiency;3 / KE S2;  ;%;04 May 2023;63;63
Efficiency;3 / KE S2;  ;%;05 Apr 2023;59;63
Efficiency;3 / KE S2;  ;%;05 Dec 2022;58;63
Efficiency;3 / KE S2;  ;%;05 Feb 2023; ; 
Efficiency;3 / KE S2;  ;%;05 May 2023;64;63
Efficiency;3 / KE S2;  ;%;06 Apr 2023;59;63
Efficiency;3 / KE S2;  ;%;06 Dec 2022;52;63
Efficiency;3 / KE S2;  ;%;06 Feb 2023;68;63
Efficiency;3 / KE S2;  ;%;06 May 2023; ; 
Efficiency;3 / KE S2;  ;%;07 Apr 2023;67;63
Efficiency;3 / KE S2;  ;%;07 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;07 Feb 2023;63;63
Efficiency;3 / KE S2;  ;%;07 May 2023; ; 
Efficiency;3 / KE S2;  ;%;08 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;08 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;08 Feb 2023;67;63
Efficiency;3 / KE S2;  ;%;08 May 2023; ; 
Efficiency;3 / KE S2;  ;%;09 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;09 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;09 Feb 2023;63;63
Efficiency;3 / KE S2;  ;%;09 May 2023;57;63
Efficiency;3 / KE S2;  ;%;10 Apr 2023;67;63
Efficiency;3 / KE S2;  ;%;10 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;10 Feb 2023;62;63
Efficiency;3 / KE S2;  ;%;10 May 2023;60;63
Efficiency;3 / KE S2;  ;%;11 Apr 2023;64;63
Efficiency;3 / KE S2;  ;%;11 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;11 Feb 2023;69;63
Efficiency;3 / KE S2;  ;%;11 May 2023;63;63
Efficiency;3 / KE S2;  ;%;12 Apr 2023;68;63
Efficiency;3 / KE S2;  ;%;12 Dec 2022;50;63
Efficiency;3 / KE S2;  ;%;12 Feb 2023; ; 
Efficiency;3 / KE S2;  ;%;12 May 2023;64;63
Efficiency;3 / KE S2;  ;%;13 Apr 2023;59;63
Efficiency;3 / KE S2;  ;%;13 Dec 2022;50;63
Efficiency;3 / KE S2;  ;%;13 Feb 2023;69;63
Efficiency;3 / KE S2;  ;%;13 May 2023; ; 
Efficiency;3 / KE S2;  ;%;14 Apr 2023;50;63
Efficiency;3 / KE S2;  ;%;14 Dec 2022;56;63
Efficiency;3 / KE S2;  ;%;14 Feb 2023;58;63
Efficiency;3 / KE S2;  ;%;14 May 2023;64;63
Efficiency;3 / KE S2;  ;%;15 Apr 2023; ; 
Efficiency;3 / KE S2;  ;%;15 Dec 2022;55;63
Efficiency;3 / KE S2;  ;%;15 Feb 2023;50;63
Efficiency;3 / KE S2;  ;%;15 May 2023;62;63
Efficiency;3 / KE S2;  ;%;16 Apr 2023;50;63
Efficiency;3 / KE S2;  ;%;16 Dec 2022;65;63
Efficiency;3 / KE S2;  ;%;16 Feb 2023;53;63
Efficiency;3 / KE S2;  ;%;16 May 2023;57;63
Efficiency;3 / KE S2;  ;%;17 Apr 2023;65,3;63
Efficiency;3 / KE S2;  ;%;17 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;17 Feb 2023;57;63
Efficiency;3 / KE S2;  ;%;17 May 2023;57;63
Efficiency;3 / KE S2;  ;%;18 Apr 2023;60;63
Efficiency;3 / KE S2;  ;%;18 Dec 2022; ; 
Efficiency;3 / KE S2;  ;%;18 Feb 2023; ; 
Efficiency;3 / KE S2;  ;%;18 May 2023; ; 
Efficiency;3 / KE S2;  ;%;19 Apr 2023;59,8;63
Efficiency;3 / KE S2;  ;%;19 Dec 2022;68,6;63
Efficiency;3 / KE S2;  ;%;19 Feb 2023; ; 
Efficiency;3 / KE S2;  ;%;19 May 2023; ; 
Efficiency;3 / KE S2;  ;%;20 Apr 2023;58;63
Efficiency;3 / KE S2;  ;%;20 Dec 2022;64;63
