id;id_station;level_competence;last_assesement;id_operateur
1;25;3;24/04/2023;723
2;26;3;13/04/2023;722
3;26;3;13/04/2023;722
4;26;3;13/04/2023;722
5;26;3;13/04/2023;722
6;26;3;13/04/2023;722
7;26;3;13/04/2023;722
8;26;3;13/04/2023;722
9;17;2;30/07/2022;719
10;17;2;30/07/2022;719
11;17;2;30/07/2022;719
12;5;2;21/09/2021;718
13;25;4;24/04/2023;717
14;6;4;23/09/2021;710
15;6;4;23/09/2021;710
16;19;1;18/08/2022;709
17;19;1;18/08/2022;709
18;19;1;18/08/2022;709
19;19;1;18/08/2022;709
20;20;3;20/10/2022;708
21;16;1;11/02/2022;708
22;16;1;11/02/2022;708
23;17;1;16/03/2022;708
24;17;3;20/10/2022;708
25;14;3;20/10/2022;708
26;14;3;20/10/2022;708
27;18;3;23/12/2022;707
28;18;3;23/12/2022;707
29;18;3;23/12/2022;707
30;16;2;07/02/2023;707
31;16;2;07/02/2023;707
32;16;2;07/02/2023;707
33;16;2;07/02/2023;707
34;16;2;07/02/2023;707
35;17;3;10/06/2022;706
36;17;3;10/06/2022;706
37;26;2;06/08/2022;705
38;26;2;06/08/2022;705
39;26;2;06/08/2022;705
40;26;2;06/08/2022;705
41;26;2;06/08/2022;705
42;21;2;02/08/2022;705
43;21;2;02/08/2022;705
44;21;2;02/08/2022;705
45;21;2;02/08/2022;705
46;21;2;02/08/2022;705
47;21;2;02/08/2022;705
48;19;2;02/08/2022;705
49;19;2;02/08/2022;705
50;19;2;02/08/2022;705
51;19;2;02/08/2022;705
52;17;2;30/07/2022;705
53;17;2;30/07/2022;705
54;17;2;30/07/2022;705
55;17;2;30/07/2022;705
56;29;3;12/04/2023;704
57;24;3;12/04/2023;704
58;24;3;12/04/2023;704
59;24;3;12/04/2023;704
60;24;3;12/04/2023;704
61;28;0;14/04/2023;704
62;28;0;14/04/2023;704
63;22;4;14/04/2023;704
64;27;4;14/04/2023;704
65;27;4;14/04/2023;704
66;27;4;14/04/2023;704
67;27;4;14/04/2023;704
68;27;4;14/04/2023;704
69;22;3;13/04/2023;703
70;27;3;13/04/2023;703
71;27;3;13/04/2023;703
72;27;3;13/04/2023;703
73;27;3;13/04/2023;703
74;27;3;13/04/2023;703
75;27;3;13/04/2023;703
76;3;2;17/09/2022;703
77;3;2;17/09/2022;703
78;1;3;21/09/2021;703
79;1;3;21/09/2021;703
80;1;3;21/09/2021;703
81;5;2;21/09/2021;703
82;5;3;21/09/2021;703
83;2;2;21/09/2021;703
84;29;2;16/09/2022;702
85;32;2;06/08/2022;702
86;32;2;06/08/2022;702
87;32;2;06/08/2022;702
88;32;2;06/08/2022;702
89;26;2;06/08/2022;702
90;26;2;06/08/2022;702
91;26;2;06/08/2022;702
92;26;2;06/08/2022;702
93;26;2;06/08/2022;702
94;19;3;08/09/2022;701
95;19;3;08/09/2022;701
96;19;3;08/09/2022;701
97;19;3;08/09/2022;701
98;17;3;08/09/2022;701
99;32;3;13/04/2023;700
100;32;3;13/04/2023;700
101;26;3;13/04/2023;700
102;26;3;13/04/2023;700
103;26;3;13/04/2023;700
104;26;3;13/04/2023;700
105;26;3;13/04/2023;700
106;26;3;13/04/2023;700
107;26;3;13/04/2023;700
108;22;4;24/04/2023;699
109;25;4;24/04/2023;699
110;25;4;24/04/2023;699
111;27;4;24/04/2023;699
112;27;4;24/04/2023;699
113;27;4;24/04/2023;699
114;27;4;24/04/2023;699
115;27;4;24/04/2023;699
116;14;3;23/12/2022;694
117;14;3;23/12/2022;694
118;14;3;23/12/2022;694
119;14;3;23/12/2022;694
120;23;4;10/08/2021;692
121;25;3;09/09/2022;692
122;25;3;09/09/2022;692
123;25;3;09/09/2022;692
124;25;3;09/09/2022;692
125;25;3;09/09/2022;692
126;19;2;14/06/2022;690
127;21;2;02/08/2022;689
128;21;2;02/08/2022;689
129;21;2;02/08/2022;689
130;21;2;02/08/2022;689
131;21;2;02/08/2022;689
132;21;2;02/08/2022;689
133;19;2;02/08/2022;689
134;19;2;02/08/2022;689
135;19;2;02/08/2022;689
136;19;2;02/08/2022;689
137;17;2;30/07/2022;689
138;17;2;30/07/2022;689
139;17;1;03/08/2021;689
140;17;2;30/07/2022;689
141;7;4;19/04/2023;688
142;7;4;19/04/2023;688
143;7;4;19/04/2023;688
144;7;2;19/04/2023;688
145;7;2;19/04/2023;688
146;6;4;19/04/2023;688
147;6;4;19/04/2023;688
148;7;2;19/04/2023;683
149;7;2;19/04/2023;683
150;7;2;19/04/2023;683
151;7;2;19/04/2023;683
152;30;2;16/09/2022;681
153;17;2;30/07/2022;676
154;25;3;24/04/2023;675
155;22;3;12/04/2023;673
156;31;4;14/04/2023;671
157;29;4;14/04/2023;671
158;22;3;13/04/2023;671
159;22;3;24/04/2023;670
160;25;3;24/04/2023;670
161;27;4;24/04/2023;670
162;27;4;24/04/2023;670
163;27;4;24/04/2023;670
164;27;4;24/04/2023;670
165;27;4;24/04/2023;670
166;24;3;12/08/2022;664
167;27;3;24/04/2023;663
168;27;3;24/04/2023;663
169;27;4;24/04/2023;663
170;27;4;24/04/2023;663
171;27;3;24/04/2023;663
172;26;3;13/04/2023;661
173;26;3;13/04/2023;661
174;26;3;13/04/2023;661
175;26;3;13/04/2023;661
176;26;3;13/04/2023;661
177;26;3;30/06/2022;660
178;26;3;30/06/2022;660
179;26;3;30/06/2022;660
180;19;3;27/06/2022;659
181;19;3;27/06/2022;659
182;19;3;27/06/2022;659
183;19;3;27/06/2022;659
184;19;3;27/06/2022;658
185;19;3;27/06/2022;658
186;19;3;27/06/2022;658
187;19;3;27/06/2022;658
188;19;3;10/06/2022;657
189;19;3;10/06/2022;657
190;19;3;10/06/2022;657
191;21;3;08/09/2022;656
192;21;3;08/09/2022;656
193;21;3;08/09/2022;656
194;21;3;08/09/2022;656
195;21;3;08/09/2022;656
196;21;3;08/09/2022;656
197;21;3;08/09/2022;656
198;21;3;08/09/2022;656
199;19;3;25/06/2022;656
200;19;3;25/06/2022;656
201;19;3;25/06/2022;656
202;19;3;25/06/2022;656
203;26;3;10/06/2022;655
204;26;3;10/06/2022;655
205;19;2;08/09/2022;653
206;19;2;08/09/2022;653
207;17;3;25/06/2022;653
208;17;2;10/06/2022;652
209;21;3;10/06/2022;651
210;21;3;10/06/2022;651
211;21;3;10/06/2022;651
212;21;3;10/06/2022;651
213;21;3;10/06/2022;651
214;21;3;10/06/2022;651
215;7;2;27/06/2022;650
216;7;4;23/09/2021;649
217;6;3;23/09/2021;649
218;6;3;23/09/2021;649
219;6;4;23/09/2021;649
220;19;2;05/02/2023;649
221;19;2;05/02/2023;649
222;19;2;05/02/2023;649
223;19;2;05/02/2023;649
224;17;3;08/02/2022;649
225;17;3;08/02/2022;649
226;26;2;02/02/2023;648
227;26;2;02/02/2023;648
228;26;2;02/02/2023;648
229;26;2;02/02/2023;648
230;26;2;02/02/2023;648
231;19;2;05/02/2023;641
232;19;2;05/02/2023;641
233;19;2;05/02/2023;641
234;19;2;05/02/2023;641
235;7;1;05/03/2022;640
236;7;3;05/03/2022;640
237;7;1;05/03/2022;640
238;7;3;05/03/2022;640
239;6;2;05/03/2022;640
240;6;2;05/03/2022;640
241;6;2;05/03/2022;640
242;6;2;05/03/2022;640
243;19;2;05/02/2023;640
244;19;2;05/02/2023;640
245;19;2;05/02/2023;640
246;19;2;05/02/2023;640
247;17;3;10/02/2022;640
248;19;2;02/08/2022;639
249;19;2;02/08/2022;639
250;19;2;02/08/2022;639
251;19;2;02/08/2022;639
252;17;2;30/07/2022;639
253;17;2;30/07/2022;639
254;17;2;30/07/2022;639
255;17;1;03/08/2021;639
256;10;2;16/09/2022;637
257;13;2;16/09/2022;637
258;12;2;16/09/2022;637
259;9;2;16/09/2022;637
260;8;2;16/09/2022;637
261;19;2;02/08/2022;636
262;19;2;02/08/2022;636
263;19;2;02/08/2022;636
264;19;2;02/08/2022;636
265;17;3;05/03/2022;636
266;13;2;16/09/2022;634
267;12;2;16/09/2022;634
268;6;2;19/09/2022;633
269;6;2;19/09/2022;633
270;6;2;19/09/2022;633
271;6;2;19/09/2022;633
272;26;3;07/03/2022;628
273;26;3;07/03/2022;628
274;23;2;11/02/2022;620
275;13;3;14/09/2022;619
276;26;3;11/02/2022;616
277;26;3;11/02/2022;616
278;26;3;11/02/2022;616
279;7;2;19/09/2022;613
280;7;2;19/09/2022;613
281;7;2;19/09/2022;613
282;6;2;19/09/2022;613
283;6;2;19/09/2022;613
284;6;2;19/09/2022;613
285;6;2;19/09/2022;613
286;12;2;20/12/2022;612
287;19;2;22/02/2023;605
288;19;2;22/02/2023;605
289;19;2;22/02/2023;605
290;19;2;22/02/2023;605
291;26;4;28/02/2022;600
292;26;4;28/02/2022;600
293;26;4;28/02/2022;600
294;26;3;30/06/2022;600
295;26;3;30/06/2022;600
296;26;3;12/01/2022;600
297;26;3;12/01/2022;600
298;6;2;07/07/2022;597
299;13;3;14/09/2022;594
300;13;2;18/01/2023;585
301;7;2;19/09/2022;585
302;7;2;19/09/2022;585
303;7;2;19/09/2022;585
304;7;2;19/09/2022;585
305;6;2;23/09/2021;585
306;6;2;23/09/2021;585
307;6;4;23/09/2021;585
308;26;3;10/06/2022;579
309;26;3;10/06/2022;579
310;26;3;16/09/2022;579
311;26;3;16/09/2022;579
312;26;3;10/06/2022;579
313;26;3;10/06/2022;579
314;7;2;19/09/2022;565
315;7;2;19/09/2022;565
316;7;2;19/09/2022;565
317;7;2;19/09/2022;565
318;7;2;19/09/2022;565
319;6;2;19/09/2022;565
320;6;2;19/09/2022;565
321;6;2;19/09/2022;565
322;6;2;19/09/2022;565
323;26;3;05/03/2022;565
324;26;3;05/03/2022;565
325;26;3;05/03/2022;565
326;26;1;05/03/2022;565
327;26;1;05/03/2022;565
328;13;2;16/09/2022;557
329;7;4;23/09/2021;549
330;7;4;23/09/2021;549
331;6;2;19/09/2022;549
332;6;2;19/09/2022;549
333;6;2;19/09/2022;549
334;6;2;19/09/2022;549
335;7;4;23/09/2021;547
336;7;4;23/09/2021;547
337;6;4;23/09/2021;547
338;19;1;17/02/2022;545
339;19;1;17/02/2022;545
340;19;1;17/02/2022;545
341;19;1;17/02/2022;545
342;17;2;09/03/2022;540
343;21;2;02/08/2022;539
344;21;2;02/08/2022;539
345;21;2;02/08/2022;539
346;21;2;02/08/2022;539
347;21;2;02/08/2022;539
348;21;2;02/08/2022;539
349;19;2;02/08/2022;539
350;19;2;02/08/2022;539
351;19;2;02/08/2022;539
352;19;2;02/08/2022;539
353;16;1;03/08/2021;539
354;16;1;03/08/2021;539
355;16;1;06/08/2021;539
356;16;1;06/08/2021;539
357;16;1;06/08/2021;539
358;17;2;30/07/2022;539
359;17;2;30/07/2022;539
360;17;2;30/07/2022;539
361;17;1;03/08/2021;539
362;32;3;12/01/2022;538
363;32;3;12/01/2022;538
364;26;2;09/01/2023;538
365;26;2;09/01/2023;538
366;26;2;09/01/2023;538
367;26;2;09/01/2023;538
368;20;2;02/08/2022;519
369;20;2;02/08/2022;519
370;20;2;02/08/2022;519
371;20;2;02/08/2022;519
372;16;2;02/08/2022;519
373;16;2;02/08/2022;519
374;16;2;02/08/2022;519
375;16;2;02/08/2022;519
376;16;2;02/08/2022;519
377;14;2;27/07/2022;519
378;14;2;27/07/2022;519
379;31;4;24/04/2023;518
380;22;4;24/04/2023;518
381;27;4;24/04/2023;518
382;27;3;24/04/2023;518
383;27;4;24/04/2023;518
384;27;4;24/04/2023;518
385;27;3;24/04/2023;518
386;15;2;05/02/2023;517
387;15;2;05/02/2023;517
388;15;2;05/02/2023;517
389;15;2;05/02/2023;517
390;16;2;05/02/2023;517
391;16;2;05/02/2023;517
392;16;2;05/02/2023;517
