id_qty;date_qty;qty;target_qty
1;05/12/2022;75;90
2;11/12/2022;80;90
3;12/12/2022;72;90
4;13/12/2022;58;90
5;14/12/2022;77;90
6;15/12/2022;77;90
7;16/12/2022;88;90
8;19/12/2022;90;90
9;20/12/2022;90;90
10;21/12/2022;88;90
11;22/12/2022;86;90
12;02/01/2023;85;90
13;03/01/2023;75;90
14;04/01/2023;87;90
15;05/01/2023;75;90
16;06/01/2023;85;90
17;08/01/2023;85;90
18;09/01/2023;93;90
19;10/01/2023;94;90
20;11/01/2023;85;90
21;12/01/2023;90;90
22;13/01/2023;78;90
23;16/01/2023;82;90
24;17/01/2023;87;90
25;18/01/2023;81;90
26;19/01/2023;64;90
27;22/01/2023;90;90
28;23/01/2023;85;90
29;24/01/2023;62;90
30;25/01/2023;75;90
31;26/01/2023;87;90
32;29/01/2023;88;90
33;30/01/2023;89;90
34;10/02/2023;98;90
35;13/02/2023;92;90
36;14/02/2023;92;90
37;15/02/2023;83;90
38;16/02/2023;79;90
39;19/02/2023;75;90
40;20/02/2023;83;90
41;21/02/2023;68;90
42;22/02/2023;53;90
43;23/02/2023;62;90
44;24/02/2023;77;90
45;26/02/2023;77;90
46;27/02/2023;71;90
47;28/02/2023;76;90
48;01/03/2023;73;90
49;02/03/2023;72;90
50;05/03/2023;87;90
51;06/03/2023;90;90
52;07/03/2023;46;90
53;08/03/2023;81;90
54;09/03/2023;90;90
55;10/03/2023;69;90
56;13/03/2023;86;90
57;14/03/2023;70;90
58;15/03/2023;80;90
59;16/03/2023;90;90
60;19/03/2023;90;90
61;20/03/2023;90;90
62;21/03/2023;75;90
63;22/03/2023;92;90
64;23/03/2023;84;90
65;24/03/2023;86;90
66;27/03/2023;70;90
67;28/03/2023;80;90
68;29/03/2023;89;90
69;30/03/2023;85;90
70;02/04/2023;76;90
71;03/04/2023;82;90
72;04/04/2023;85;90
73;05/04/2023;90;90
74;06/04/2023;65;90
75;07/04/2023;85;90
76;11/04/2023;74;90
77;12/04/2023;87;90
78;13/04/2023;54;90
79;16/04/2023;60;90
80;17/04/2023;90;90
81;18/04/2023;84;90
82;19/04/2023;97;90
83;20/04/2023;92;90
84;21/04/2023;78;90
85;31/01/2023;74;100
86;01/02/2023;112;100
87;02/02/2023;110;100
88;05/02/2023;131;100
89;06/02/2023;96;100
90;07/02/2023;88;100
91;08/02/2023;87;100
92;09/02/2023;89;100
93;24/04/2023;77;100
94;25/04/2023;100;100
95;26/04/2023;70;100
96;27/04/2023;81;100
97;01/05/2023;73;100
98;02/05/2023;91;100
99;03/05/2023;92;100
100;04/05/2023;88;100
101;05/05/2023;86;100
102;09/05/2023;76;100
103;10/05/2023;67;100
104;11/05/2023;74;100
105;14/05/2023;80;105
106;15/05/2023;92;105
107;16/05/2023;92;105
108;17/05/2023;74;105
109;22/05/2023;77;105
110;23/05/2023;93;105
111;24/05/2023;98;105
112;25/05/2023;84;105
113;29/05/2023;81;105
114;30/05/2023;84;105
115;31/05/2023;82;105
116;01/06/2023;86;105
117;04/06/2023;83;105
118;05/06/2023;93;105
119;06/06/2023;54;105
120;07/06/2023;97;105
