id;id_station;level_competence;last_assement;id_operateur
149;61;0;22/04/2021;1
286;60;0;22/04/2021;1
423;59;0;22/04/2021;1
560;58;0;22/04/2021;1
697;57;0;22/04/2021;1
834;56;0;22/04/2021;1
971;55;0;22/04/2021;1
1108;54;1;22/04/2021;1
1245;53;0;22/04/2021;1
1382;52;0;22/04/2021;1
1519;51;0;22/04/2021;1
1656;50;0;22/04/2021;1
1793;49;1;22/04/2021;1
1930;48;0;22/04/2021;1
2068;47;0;22/04/2021;1
2205;46;0;22/04/2021;1
2345;45;0;22/04/2021;1
2482;44;0;22/04/2021;1
2619;43;0;22/04/2021;1
2756;42;0;22/04/2021;1
2893;41;0;22/04/2021;1
3030;40;0;22/04/2021;1
3167;39;0;22/04/2021;1
3304;38;1;22/04/2021;1
3441;37;0;22/04/2021;1
3579;36;1;22/04/2021;1
3717;35;0;22/04/2021;1
148;61;0;22/04/2021;4
285;60;0;22/04/2021;4
422;59;0;22/04/2021;4
559;58;0;22/04/2021;4
696;57;0;22/04/2021;4
833;56;0;22/04/2021;4
970;55;0;22/04/2021;4
1107;54;1;22/04/2021;4
1244;53;1;22/04/2021;4
1381;52;1;22/04/2021;4
1518;51;0;22/04/2021;4
1655;50;1;22/04/2021;4
1792;49;1;22/04/2021;4
1929;48;0;22/04/2021;4
2067;47;0;22/04/2021;4
2204;46;0;22/04/2021;4
2344;45;0;22/04/2021;4
2481;44;0;22/04/2021;4
2618;43;0;22/04/2021;4
2755;42;0;22/04/2021;4
2892;41;0;22/04/2021;4
3029;40;0;22/04/2021;4
3166;39;1;22/04/2021;4
3303;38;1;22/04/2021;4
3440;37;0;22/04/2021;4
3578;36;1;22/04/2021;4
3716;35;0;22/04/2021;4
147;61;0;22/04/2021;5
284;60;0;22/04/2021;5
421;59;0;22/04/2021;5
558;58;0;22/04/2021;5
695;57;0;22/04/2021;5
832;56;0;22/04/2021;5
969;55;0;22/04/2021;5
1106;54;1;22/04/2021;5
1243;53;0;22/04/2021;5
1380;52;0;22/04/2021;5
1517;51;0;22/04/2021;5
1654;50;0;22/04/2021;5
1791;49;1;22/04/2021;5
1928;48;0;22/04/2021;5
2066;47;1;22/04/2021;5
2203;46;0;22/04/2021;5
2343;45;1;22/04/2021;5
2480;44;1;22/04/2021;5
2617;43;1;22/04/2021;5
2754;42;1;22/04/2021;5
2891;41;0;22/04/2021;5
3028;40;0;22/04/2021;5
