id_ke;date_ke;ke;target_ke
1;2023-03-07;28;63
2;2023-04-24;43;63
3;2023-01-19;45,6;60
4;2023-06-06;46;63
5;2023-01-24;47;60
6;2023-02-23;48;63
7;2023-01-25;49;60
8;2023-04-26;49;63
9;2022-12-12;50;63
10;2022-12-13;50;63
11;2023-02-15;50;63
12;2023-04-14;50;63
13;2023-04-16;50;63
14;2023-04-28;50;63
15;2023-05-01;50;63
16;2023-01-23;51;60
17;2022-12-06;52;63
18;2023-05-22;52;63
19;2023-01-10;53;63
20;2023-01-17;53;60
21;2023-02-16;53;63
22;2023-05-26;53;63
23;2023-05-29;53;63
24;2023-01-11;54;60
25;2023-01-13;54;60
26;2023-01-18;54;60
27;2023-03-22;54;63
28;2023-03-23;54;63
29;2023-04-21;54;63
30;2023-04-23;54;63
31;2022-12-15;55;63
32;2023-01-03;55;63
33;2023-02-28;55;63
34;2023-03-01;55;63
35;2022-12-14;56;63
36;2023-01-09;56;63
37;2023-01-12;56;60
38;2023-03-02;56;63
39;2023-03-21;56;63
40;2023-02-17;57;63
41;2023-02-22;57;63
42;2023-05-09;57;63
43;2023-05-16;57;63
44;2023-05-17;57;63
45;2023-05-21;57;63
46;2023-05-23;57;63
47;2022-12-05;58;63
48;2023-02-14;58;63
49;2023-03-20;58;63
50;2023-04-20;58;63
51;2023-06-01;58;63
52;2023-02-27;59;63
53;2023-04-05;59;63
54;2023-04-06;59;63
55;2023-04-13;59;63
56;2023-05-31;59;63
57;2023-06-07;59,1;63
58;2023-04-19;59,8;63
59;2023-01-16;60;60
60;2023-02-21;60;63
61;2023-04-18;60;63
62;2023-04-25;60;63
63;2023-04-27;60;63
64;2023-05-10;60;63
65;2023-06-02;60;63
66;2023-06-04;60;63
67;2023-03-31;61;63
68;2023-04-02;61;63
69;2023-04-04;61;63
70;2022-12-23;62;63
71;2023-01-20;62;60
72;2023-01-22;62;60
73;2023-01-27;62;63
74;2023-01-29;62;63
75;2023-02-01;62;63
76;2023-02-10;62;63
77;2023-03-14;62;63
78;2023-04-03;62;63
79;2023-05-15;62;63
80;2023-05-25;62;63
81;2023-05-30;62;63
82;2023-06-05;62;63
83;2023-01-04;63;63
84;2023-01-26;63;60
85;2023-02-07;63;63
86;2023-02-09;63;63
87;2023-02-20;63;63
88;2023-05-04;63;63
89;2023-05-11;63;63
90;2022-12-20;64;63
91;2022-12-21;64;63
92;2022-12-22;64;63
93;2023-01-05;64;63
94;2023-02-02;64;63
95;2023-03-09;64;63
96;2023-03-13;64;63
97;2023-03-27;64;63
98;2023-04-11;64;63
99;2023-05-03;64;63
100;2023-05-05;64;63
101;2023-05-12;64;63
102;2023-05-14;64;63
103;2023-05-24;64;63
104;2022-12-16;65;63
105;2023-02-03;65;63
106;2023-03-10;65;63
107;2023-03-12;65;63
108;2023-03-15;65;63
109;2023-03-17;65;63
110;2023-03-19;65;63
111;2023-04-17;65,3;63
112;2023-03-08;66;63
113;2023-03-16;66;63
114;2023-03-30;66;63
115;2023-05-02;66;63
116;2023-01-02;67;63
117;2023-01-06;67;63
118;2023-01-08;67;63
119;2023-02-08;67;63
120;2023-03-28;67;63
121;2023-03-29;67;63
122;2023-04-07;67;63
123;2023-04-10;67;63
124;2023-02-06;68;63
125;2023-03-06;68;63
126;2023-03-24;68;63
127;2023-04-12;68;63
128;2022-12-19;68,6;63
129;2023-02-11;69;63
130;2023-02-13;69;63
131;2023-03-26;69;63
132;2023-01-30;70;63
133;2023-03-03;70;63
134;2023-03-05;70;63
135;2023-02-24;74;63
136;2023-02-26;74;63
137;2023-02-04;119;63
