id_qty;date_qty;qty;target_qty
1;2022-12-05;75;90
2;2022-12-11;80;90
3;2022-12-12;72;90
4;2022-12-13;58;90
5;2022-12-14;77;90
6;2022-12-15;77;90
7;2022-12-16;88;90
8;2022-12-19;90;90
9;2022-12-20;90;90
10;2022-12-21;88;90
11;2022-12-22;86;90
12;2023-01-02;85;90
13;2023-01-03;75;90
14;2023-01-04;87;90
15;2023-01-05;75;90
16;2023-01-06;85;90
17;2023-01-08;85;90
18;2023-01-09;93;90
19;2023-01-10;94;90
20;2023-01-11;85;90
21;2023-01-12;90;90
22;2023-01-13;78;90
23;2023-01-16;82;90
24;2023-01-17;87;90
25;2023-01-18;81;90
26;2023-01-19;64;90
27;2023-01-22;90;90
28;2023-01-23;85;90
29;2023-01-24;62;90
30;2023-01-25;75;90
31;2023-01-26;87;90
32;2023-01-29;88;90
33;2023-01-30;89;90
34;2023-02-10;98;90
35;2023-02-13;92;90
36;2023-02-14;92;90
37;2023-02-15;83;90
38;2023-02-16;79;90
39;2023-02-19;75;90
40;2023-02-20;83;90
41;2023-02-21;68;90
42;2023-02-22;53;90
43;2023-02-23;62;90
44;2023-02-24;77;90
45;2023-02-26;77;90
46;2023-02-27;71;90
47;2023-02-28;76;90
48;2023-03-01;73;90
49;2023-03-02;72;90
50;2023-03-05;87;90
51;2023-03-06;90;90
52;2023-03-07;46;90
53;2023-03-08;81;90
54;2023-03-09;90;90
55;2023-03-10;69;90
56;2023-03-13;86;90
57;2023-03-14;70;90
58;2023-03-15;80;90
59;2023-03-16;90;90
60;2023-03-19;90;90
61;2023-03-20;90;90
62;2023-03-21;75;90
63;2023-03-22;92;90
64;2023-03-23;84;90
65;2023-03-24;86;90
66;2023-03-27;70;90
67;2023-03-28;80;90
68;2023-03-29;89;90
69;2023-03-30;85;90
70;2023-04-02;76;90
71;2023-04-03;82;90
72;2023-04-04;85;90
73;2023-04-05;90;90
74;2023-04-06;65;90
75;2023-04-07;85;90
76;2023-04-11;74;90
77;2023-04-12;87;90
78;2023-04-13;54;90
79;2023-04-16;60;90
80;2023-04-17;90;90
81;2023-04-18;84;90
82;2023-04-19;97;90
83;2023-04-20;92;90
84;2023-04-21;78;90
85;2023-01-31;74;100
86;2023-02-01;112;100
87;2023-02-02;110;100
88;2023-02-05;131;100
89;2023-02-06;96;100
90;2023-02-07;88;100
91;2023-02-08;87;100
92;2023-02-09;89;100
93;2023-04-24;77;100
94;2023-04-25;100;100
95;2023-04-26;70;100
96;2023-04-27;81;100
97;2023-05-01;73;100
98;2023-05-02;91;100
99;2023-05-03;92;100
100;2023-05-04;88;100
101;2023-05-05;86;100
102;2023-05-09;76;100
103;2023-05-10;67;100
104;2023-05-11;74;100
105;2023-05-14;80;105
106;2023-05-15;92;105
107;2023-05-16;92;105
108;2023-05-17;74;105
109;2023-05-22;77;105
110;2023-05-23;93;105
111;2023-05-24;98;105
112;2023-05-25;84;105
113;2023-05-29;81;105
114;2023-05-30;84;105
115;2023-05-31;82;105
116;2023-06-01;86;105
117;2023-06-04;83;105
118;2023-06-05;93;105
119;2023-06-06;54;105
120;2023-06-07;97;105
