id;id_station;level_competence;last_assesement;id_operateur
1;25;3;24/04/2023;SESA680805
2;26;3;13/04/2023;SESA680805
3;26;3;13/04/2023;SESA680805
4;26;3;13/04/2023;SESA680805
5;26;3;13/04/2023;SESA680805
6;26;3;13/04/2023;SESA680805
7;26;3;13/04/2023;SESA680805
8;26;3;13/04/2023;SESA680805
9;17;2;30/07/2022;SESA98475
10;17;2;30/07/2022;SESA98475
11;17;2;30/07/2022;SESA98475
12;5;2;21/09/2021;SESA691714
13;25;4;24/04/2023;SESA98490
14;6;4;23/09/2021;SESA98520
15;6;4;23/09/2021;SESA98520
16;19;1;18/08/2022;310
17;19;1;18/08/2022;310
18;19;1;18/08/2022;310
19;19;1;18/08/2022;310
20;20;3;20/10/2022;112
21;16;1;11/02/2022;112
22;16;1;11/02/2022;112
23;17;1;16/03/2022;112
24;17;3;20/10/2022;112
25;14;3;20/10/2022;112
26;14;3;20/10/2022;112
27;18;3;23/12/2022;SESA678313
28;18;3;23/12/2022;SESA678313
29;18;3;23/12/2022;SESA678313
30;16;2;07/02/2023;SESA678313
31;16;2;07/02/2023;SESA678313
32;16;2;07/02/2023;SESA678313
33;16;2;07/02/2023;SESA678313
34;16;2;07/02/2023;SESA678313
35;17;3;10/06/2022;117
36;17;3;10/06/2022;117
37;26;2;06/08/2022;SESA117475
38;26;2;06/08/2022;SESA117475
39;26;2;06/08/2022;SESA117475
40;26;2;06/08/2022;SESA117475
41;26;2;06/08/2022;SESA117475
42;21;2;02/08/2022;SESA117475
43;21;2;02/08/2022;SESA117475
44;21;2;02/08/2022;SESA117475
45;21;2;02/08/2022;SESA117475
46;21;2;02/08/2022;SESA117475
47;21;2;02/08/2022;SESA117475
48;19;2;02/08/2022;SESA117475
49;19;2;02/08/2022;SESA117475
50;19;2;02/08/2022;SESA117475
51;19;2;02/08/2022;SESA117475
52;17;2;30/07/2022;SESA117475
53;17;2;30/07/2022;SESA117475
54;17;2;30/07/2022;SESA117475
55;17;2;30/07/2022;SESA117475
56;29;3;12/04/2023;SESA98525
57;24;3;12/04/2023;SESA98525
58;24;3;12/04/2023;SESA98525
59;24;3;12/04/2023;SESA98525
60;24;3;12/04/2023;SESA98525
61;28;0;14/04/2023;SESA98525
62;28;0;14/04/2023;SESA98525
63;22;4;14/04/2023;SESA98525
64;27;4;14/04/2023;SESA98525
65;27;4;14/04/2023;SESA98525
66;27;4;14/04/2023;SESA98525
67;27;4;14/04/2023;SESA98525
68;27;4;14/04/2023;SESA98525
69;22;3;13/04/2023;SESA66501
70;27;3;13/04/2023;SESA66501
71;27;3;13/04/2023;SESA66501
72;27;3;13/04/2023;SESA66501
73;27;3;13/04/2023;SESA66501
74;27;3;13/04/2023;SESA66501
75;27;3;13/04/2023;SESA66501
76;3;2;17/09/2022;SESA66501
77;3;2;17/09/2022;SESA66501
78;1;3;21/09/2021;SESA66501
79;1;3;21/09/2021;SESA66501
80;1;3;21/09/2021;SESA66501
81;5;2;21/09/2021;SESA66501
82;5;3;21/09/2021;SESA66501
83;2;2;21/09/2021;SESA66501
84;29;2;16/09/2022;SESA427100
85;32;2;06/08/2022;SESA427100
86;32;2;06/08/2022;SESA427100
87;32;2;06/08/2022;SESA427100
88;32;2;06/08/2022;SESA427100
89;26;2;06/08/2022;SESA427100
90;26;2;06/08/2022;SESA427100
91;26;2;06/08/2022;SESA427100
92;26;2;06/08/2022;SESA427100
93;26;2;06/08/2022;SESA427100
94;19;3;08/09/2022;206
95;19;3;08/09/2022;206
96;19;3;08/09/2022;206
97;19;3;08/09/2022;206
98;17;3;08/09/2022;206
99;32;3;13/04/2023;SESA654350
100;32;3;13/04/2023;SESA654350
101;26;3;13/04/2023;SESA654350
102;26;3;13/04/2023;SESA654350
103;26;3;13/04/2023;SESA654350
104;26;3;13/04/2023;SESA654350
105;26;3;13/04/2023;SESA654350
106;26;3;13/04/2023;SESA654350
107;26;3;13/04/2023;SESA654350
108;22;4;24/04/2023;SESA98411
109;25;4;24/04/2023;SESA98411
110;25;4;24/04/2023;SESA98411
111;27;4;24/04/2023;SESA98411
112;27;4;24/04/2023;SESA98411
113;27;4;24/04/2023;SESA98411
114;27;4;24/04/2023;SESA98411
115;27;4;24/04/2023;SESA98411
116;14;3;23/12/2022;344
117;14;3;23/12/2022;344
118;14;3;23/12/2022;344
119;14;3;23/12/2022;344
120;23;4;10/08/2021;SESA580484
121;25;3;09/09/2022;SESA580484
122;25;3;09/09/2022;SESA580484
123;25;3;09/09/2022;SESA580484
124;25;3;09/09/2022;SESA580484
125;25;3;09/09/2022;SESA580484
126;19;2;14/06/2022;268
127;21;2;02/08/2022;90056300
128;21;2;02/08/2022;90056300
129;21;2;02/08/2022;90056300
130;21;2;02/08/2022;90056300
131;21;2;02/08/2022;90056300
132;21;2;02/08/2022;90056300
133;19;2;02/08/2022;90056300
134;19;2;02/08/2022;90056300
135;19;2;02/08/2022;90056300
136;19;2;02/08/2022;90056300
137;17;2;30/07/2022;90056300
138;17;2;30/07/2022;90056300
139;17;1;03/08/2021;90056300
140;17;2;30/07/2022;90056300
141;7;4;19/04/2023;SESA98476
142;7;4;19/04/2023;SESA98476
143;7;4;19/04/2023;SESA98476
144;7;2;19/04/2023;SESA98476
145;7;2;19/04/2023;SESA98476
146;6;4;19/04/2023;SESA98476
147;6;4;19/04/2023;SESA98476
148;7;2;19/04/2023;130
149;7;2;19/04/2023;130
150;7;2;19/04/2023;130
151;7;2;19/04/2023;130
152;30;2;16/09/2022;SESA
153;17;2;30/07/2022;SESA285167
154;25;3;24/04/2023;SESA678292
155;22;3;12/04/2023;SESA98464
156;31;4;14/04/2023;SESA98500
157;29;4;14/04/2023;SESA98500
158;22;3;13/04/2023;SESA98500
159;22;3;24/04/2023;SESA98491
160;25;3;24/04/2023;SESA98491
161;27;4;24/04/2023;SESA98491
162;27;4;24/04/2023;SESA98491
163;27;4;24/04/2023;SESA98491
164;27;4;24/04/2023;SESA98491
165;27;4;24/04/2023;SESA98491
166;24;3;12/08/2022;SESA678945
167;27;3;24/04/2023;90050509
168;27;3;24/04/2023;90050509
169;27;4;24/04/2023;90050509
170;27;4;24/04/2023;90050509
171;27;3;24/04/2023;90050509
172;26;3;13/04/2023;SESA680816
173;26;3;13/04/2023;SESA680816
174;26;3;13/04/2023;SESA680816
175;26;3;13/04/2023;SESA680816
176;26;3;13/04/2023;SESA680816
177;26;3;30/06/2022;279
178;26;3;30/06/2022;279
179;26;3;30/06/2022;279
180;19;3;27/06/2022;293
181;19;3;27/06/2022;293
182;19;3;27/06/2022;293
183;19;3;27/06/2022;293
184;19;3;27/06/2022;292
185;19;3;27/06/2022;292
186;19;3;27/06/2022;292
187;19;3;27/06/2022;292
188;19;3;10/06/2022;248
189;19;3;10/06/2022;248
190;19;3;10/06/2022;248
191;21;3;08/09/2022;207
192;21;3;08/09/2022;207
193;21;3;08/09/2022;207
194;21;3;08/09/2022;207
195;21;3;08/09/2022;207
196;21;3;08/09/2022;207
197;21;3;08/09/2022;207
198;21;3;08/09/2022;207
199;19;3;25/06/2022;207
200;19;3;25/06/2022;207
201;19;3;25/06/2022;207
202;19;3;25/06/2022;207
203;26;3;10/06/2022;90061711
204;26;3;10/06/2022;90061711
205;19;2;08/09/2022;208
206;19;2;08/09/2022;208
207;17;3;25/06/2022;208
208;17;2;10/06/2022;243
209;21;3;10/06/2022;246
210;21;3;10/06/2022;246
211;21;3;10/06/2022;246
212;21;3;10/06/2022;246
213;21;3;10/06/2022;246
214;21;3;10/06/2022;246
215;7;2;27/06/2022;294
216;7;4;23/09/2021;90058209
217;6;3;23/09/2021;90058209
218;6;3;23/09/2021;90058209
219;6;4;23/09/2021;90058209
220;19;2;05/02/2023;90058209
221;19;2;05/02/2023;90058209
222;19;2;05/02/2023;90058209
223;19;2;05/02/2023;90058209
224;17;3;08/02/2022;90058209
225;17;3;08/02/2022;90058209
226;26;2;02/02/2023;90059664
227;26;2;02/02/2023;90059664
228;26;2;02/02/2023;90059664
229;26;2;02/02/2023;90059664
230;26;2;02/02/2023;90059664
231;19;2;05/02/2023;90052264
232;19;2;05/02/2023;90052264
233;19;2;05/02/2023;90052264
234;19;2;05/02/2023;90052264
235;7;1;05/03/2022;90059785
236;7;3;05/03/2022;90059785
237;7;1;05/03/2022;90059785
238;7;3;05/03/2022;90059785
239;6;2;05/03/2022;90059785
240;6;2;05/03/2022;90059785
241;6;2;05/03/2022;90059785
242;6;2;05/03/2022;90059785
243;19;2;05/02/2023;90059785
244;19;2;05/02/2023;90059785
245;19;2;05/02/2023;90059785
246;19;2;05/02/2023;90059785
247;17;3;10/02/2022;90059785
248;19;2;02/08/2022;90056333
249;19;2;02/08/2022;90056333
250;19;2;02/08/2022;90056333
251;19;2;02/08/2022;90056333
252;17;2;30/07/2022;90056333
253;17;2;30/07/2022;90056333
254;17;2;30/07/2022;90056333
255;17;1;03/08/2021;90056333
256;10;2;16/09/2022;SESA117425
257;13;2;16/09/2022;SESA117425
258;12;2;16/09/2022;SESA117425
259;9;2;16/09/2022;SESA117425
260;8;2;16/09/2022;SESA117425
261;19;2;02/08/2022;90057495
262;19;2;02/08/2022;90057495
263;19;2;02/08/2022;90057495
264;19;2;02/08/2022;90057495
265;17;3;05/03/2022;90057495
266;13;2;16/09/2022;SESA654375
267;12;2;16/09/2022;SESA654375
268;6;2;19/09/2022;90058127
269;6;2;19/09/2022;90058127
270;6;2;19/09/2022;90058127
271;6;2;19/09/2022;90058127
272;26;3;07/03/2022;90060737
273;26;3;07/03/2022;90060737
274;23;2;11/02/2022;129
275;13;3;14/09/2022;SESA686740
276;26;3;11/02/2022;90058975
277;26;3;11/02/2022;90058975
278;26;3;11/02/2022;90058975
279;7;2;19/09/2022;90049564
280;7;2;19/09/2022;90049564
281;7;2;19/09/2022;90049564
282;6;2;19/09/2022;90049564
283;6;2;19/09/2022;90049564
284;6;2;19/09/2022;90049564
285;6;2;19/09/2022;90049564
286;12;2;20/12/2022;90059524
287;19;2;22/02/2023;121
288;19;2;22/02/2023;121
289;19;2;22/02/2023;121
290;19;2;22/02/2023;121
291;26;4;28/02/2022;90059270
292;26;4;28/02/2022;90059270
293;26;4;28/02/2022;90059270
294;26;3;30/06/2022;90059270
295;26;3;30/06/2022;90059270
296;26;3;12/01/2022;90059270
297;26;3;12/01/2022;90059270
