id;id_station;level_competence;last_assesement;id_operateur
149;61;0;22/04/2021;SESA107699
286;60;0;22/04/2021;SESA107699
423;59;0;22/04/2021;SESA107699
560;58;0;22/04/2021;SESA107699
697;57;0;22/04/2021;SESA107699
834;56;0;22/04/2021;SESA107699
971;55;0;22/04/2021;SESA107699
1108;54;1;22/04/2021;SESA107699
1245;53;0;22/04/2021;SESA107699
1382;52;0;22/04/2021;SESA107699
1519;51;0;22/04/2021;SESA107699
1656;50;0;22/04/2021;SESA107699
1793;49;1;22/04/2021;SESA107699
1930;48;0;22/04/2021;SESA107699
2068;47;0;22/04/2021;SESA107699
2205;46;0;22/04/2021;SESA107699
2345;45;0;22/04/2021;SESA107699
2482;44;0;22/04/2021;SESA107699
2619;43;0;22/04/2021;SESA107699
2756;42;0;22/04/2021;SESA107699
2893;41;0;22/04/2021;SESA107699
3030;40;0;22/04/2021;SESA107699
3167;39;0;22/04/2021;SESA107699
3304;38;1;22/04/2021;SESA107699
3441;37;0;22/04/2021;SESA107699
3579;36;1;22/04/2021;SESA107699
3717;35;0;22/04/2021;SESA107699
148;61;0;22/04/2021;SESA98515
285;60;0;22/04/2021;SESA98515
422;59;0;22/04/2021;SESA98515
559;58;0;22/04/2021;SESA98515
696;57;0;22/04/2021;SESA98515
833;56;0;22/04/2021;SESA98515
970;55;0;22/04/2021;SESA98515
1107;54;1;22/04/2021;SESA98515
1244;53;1;22/04/2021;SESA98515
1381;52;1;22/04/2021;SESA98515
1518;51;0;22/04/2021;SESA98515
1655;50;1;22/04/2021;SESA98515
1792;49;1;22/04/2021;SESA98515
1929;48;0;22/04/2021;SESA98515
2067;47;0;22/04/2021;SESA98515
2204;46;0;22/04/2021;SESA98515
2344;45;0;22/04/2021;SESA98515
2481;44;0;22/04/2021;SESA98515
2618;43;0;22/04/2021;SESA98515
2755;42;0;22/04/2021;SESA98515
2892;41;0;22/04/2021;SESA98515
3029;40;0;22/04/2021;SESA98515
3166;39;1;22/04/2021;SESA98515
3303;38;1;22/04/2021;SESA98515
3440;37;0;22/04/2021;SESA98515
3578;36;1;22/04/2021;SESA98515
3716;35;0;22/04/2021;SESA98515
147;61;0;22/04/2021;SESA284329
284;60;0;22/04/2021;SESA284329
421;59;0;22/04/2021;SESA284329
558;58;0;22/04/2021;SESA284329
695;57;0;22/04/2021;SESA284329
832;56;0;22/04/2021;SESA284329
969;55;0;22/04/2021;SESA284329
1106;54;1;22/04/2021;SESA284329
1243;53;0;22/04/2021;SESA284329
1380;52;0;22/04/2021;SESA284329
1517;51;0;22/04/2021;SESA284329
1654;50;0;22/04/2021;SESA284329
1791;49;1;22/04/2021;SESA284329
1928;48;0;22/04/2021;SESA284329
2066;47;1;22/04/2021;SESA284329
2203;46;0;22/04/2021;SESA284329
2343;45;1;22/04/2021;SESA284329
2480;44;1;22/04/2021;SESA284329
2617;43;1;22/04/2021;SESA284329
2754;42;1;22/04/2021;SESA284329
2891;41;0;22/04/2021;SESA284329
3028;40;0;22/04/2021;SESA284329
3165;39;0;22/04/2021;SESA284329
3302;38;1;22/04/2021;SESA284329
3439;37;0;22/04/2021;SESA284329
3577;36;1;22/04/2021;SESA284329
3715;35;0;22/04/2021;SESA284329
146;61;0;22/04/2021;90055665
283;60;0;22/04/2021;90055665
420;59;0;22/04/2021;90055665
557;58;0;22/04/2021;90055665
694;57;0;22/04/2021;90055665
831;56;0;22/04/2021;90055665
968;55;0;22/04/2021;90055665
1105;54;0;22/04/2021;90055665
1242;53;0;22/04/2021;90055665
1379;52;0;22/04/2021;90055665
1516;51;0;22/04/2021;90055665
1653;50;0;22/04/2021;90055665
1790;49;0;22/04/2021;90055665
1927;48;0;22/04/2021;90055665
2065;47;0;22/04/2021;90055665
2202;46;0;22/04/2021;90055665
2342;45;0;22/04/2021;90055665
2479;44;0;22/04/2021;90055665
2616;43;0;22/04/2021;90055665
2753;42;0;22/04/2021;90055665
2890;41;0;22/04/2021;90055665
3027;40;0;22/04/2021;90055665
3164;39;0;22/04/2021;90055665
3301;38;1;22/04/2021;90055665
3438;37;0;22/04/2021;90055665
3576;36;1;22/04/2021;90055665
3714;35;0;22/04/2021;90055665
12;62;1;28/09/2022;SESA687747
145;61;0;22/04/2021;90053362
282;60;0;22/04/2021;90053362
419;59;0;22/04/2021;90053362
556;58;0;22/04/2021;90053362
693;57;0;22/04/2021;90053362
830;56;0;22/04/2021;90053362
967;55;0;22/04/2021;90053362
1104;54;0;22/04/2021;90053362
1241;53;0;22/04/2021;90053362
1378;52;0;22/04/2021;90053362
1515;51;0;22/04/2021;90053362
1652;50;0;22/04/2021;90053362
1789;49;0;22/04/2021;90053362
1926;48;0;22/04/2021;90053362
2064;47;0;22/04/2021;90053362
2201;46;0;22/04/2021;90053362
2341;45;0;22/04/2021;90053362
2478;44;0;22/04/2021;90053362
2615;43;0;22/04/2021;90053362
2752;42;0;22/04/2021;90053362
2889;41;0;22/04/2021;90053362
3026;40;0;22/04/2021;90053362
3163;39;0;22/04/2021;90053362
3300;38;1;22/04/2021;90053362
3437;37;0;22/04/2021;90053362
3575;36;1;22/04/2021;90053362
3713;35;0;22/04/2021;90053362
9;63;1;15/06/2022;SESA98516
144;61;0;22/04/2021;SESA98516
281;60;0;22/04/2021;SESA98516
418;59;0;22/04/2021;SESA98516
555;58;0;22/04/2021;SESA98516
692;57;0;22/04/2021;SESA98516
829;56;0;22/04/2021;SESA98516
966;55;0;22/04/2021;SESA98516
1103;54;1;22/04/2021;SESA98516
1240;53;0;22/04/2021;SESA98516
1377;52;0;22/04/2021;SESA98516
1514;51;0;22/04/2021;SESA98516
1651;50;1;22/04/2021;SESA98516
1788;49;1;22/04/2021;SESA98516
1925;48;0;22/04/2021;SESA98516
2063;47;0;22/04/2021;SESA98516
2200;46;0;22/04/2021;SESA98516
2340;45;0;22/04/2021;SESA98516
2477;44;0;22/04/2021;SESA98516
2614;43;0;22/04/2021;SESA98516
2751;42;1;22/04/2021;SESA98516
2888;41;1;22/04/2021;SESA98516
3025;40;1;22/04/2021;SESA98516
3162;39;1;22/04/2021;SESA98516
3299;38;1;22/04/2021;SESA98516
3436;37;0;22/04/2021;SESA98516
3574;36;1;22/04/2021;SESA98516
3712;35;0;22/04/2021;SESA98516
143;61;0;22/04/2021;SESA427113
280;60;0;22/04/2021;SESA427113
417;59;0;22/04/2021;SESA427113
554;58;0;22/04/2021;SESA427113
691;57;0;22/04/2021;SESA427113
828;56;0;22/04/2021;SESA427113
965;55;0;22/04/2021;SESA427113
1102;54;1;22/04/2021;SESA427113
1239;53;0;22/04/2021;SESA427113
1376;52;0;22/04/2021;SESA427113
1513;51;0;22/04/2021;SESA427113
1650;50;0;22/04/2021;SESA427113
1787;49;0;22/04/2021;SESA427113
1924;48;0;22/04/2021;SESA427113
2062;47;0;22/04/2021;SESA427113
2199;46;0;22/04/2021;SESA427113
2339;45;0;22/04/2021;SESA427113
2476;44;0;22/04/2021;SESA427113
2613;43;0;22/04/2021;SESA427113
2750;42;0;22/04/2021;SESA427113
2887;41;0;22/04/2021;SESA427113
3024;40;0;22/04/2021;SESA427113
3161;39;0;22/04/2021;SESA427113
3298;38;1;22/04/2021;SESA427113
3435;37;0;22/04/2021;SESA427113
3573;36;1;22/04/2021;SESA427113
3711;35;0;22/04/2021;SESA427113
142;61;0;22/04/2021;SESA654058
279;60;0;22/04/2021;SESA654058
416;59;0;22/04/2021;SESA654058
553;58;0;22/04/2021;SESA654058
690;57;0;22/04/2021;SESA654058
827;56;0;22/04/2021;SESA654058
964;55;0;22/04/2021;SESA654058
1101;54;0;22/04/2021;SESA654058
1238;53;0;22/04/2021;SESA654058
1375;52;0;22/04/2021;SESA654058
1512;51;0;22/04/2021;SESA654058
1649;50;0;22/04/2021;SESA654058
1786;49;0;22/04/2021;SESA654058
1923;48;0;22/04/2021;SESA654058
2061;47;0;22/04/2021;SESA654058
2198;46;0;22/04/2021;SESA654058
2338;45;0;22/04/2021;SESA654058
2475;44;0;22/04/2021;SESA654058
2612;43;0;22/04/2021;SESA654058
2749;42;0;22/04/2021;SESA654058
2886;41;0;22/04/2021;SESA654058
3023;40;0;22/04/2021;SESA654058
3160;39;0;22/04/2021;SESA654058
3297;38;1;22/04/2021;SESA654058
3434;37;0;22/04/2021;SESA654058
3572;36;1;22/04/2021;SESA654058
3710;35;0;22/04/2021;SESA654058
141;61;0;22/04/2021;SESA50366
278;60;0;22/04/2021;SESA50366
415;59;0;22/04/2021;SESA50366
552;58;0;22/04/2021;SESA50366
689;57;0;22/04/2021;SESA50366
826;56;0;22/04/2021;SESA50366
963;55;0;22/04/2021;SESA50366
1100;54;0;22/04/2021;SESA50366
1237;53;0;22/04/2021;SESA50366
1374;52;0;22/04/2021;SESA50366
1511;51;0;22/04/2021;SESA50366
1648;50;0;22/04/2021;SESA50366
1785;49;1;22/04/2021;SESA50366
1922;48;0;22/04/2021;SESA50366
2060;47;0;22/04/2021;SESA50366
2197;46;0;22/04/2021;SESA50366
2337;45;0;22/04/2021;SESA50366
2474;44;0;22/04/2021;SESA50366
2611;43;0;22/04/2021;SESA50366
2748;42;0;22/04/2021;SESA50366
2885;41;0;22/04/2021;SESA50366
3022;40;0;22/04/2021;SESA50366
3159;39;0;22/04/2021;SESA50366
3296;38;1;22/04/2021;SESA50366
3433;37;0;22/04/2021;SESA50366
3571;36;1;22/04/2021;SESA50366
3709;35;0;22/04/2021;SESA50366
140;61;0;22/04/2021;SESA679880
277;60;0;22/04/2021;SESA679880
414;59;0;22/04/2021;SESA679880
551;58;0;22/04/2021;SESA679880
688;57;0;22/04/2021;SESA679880
825;56;0;22/04/2021;SESA679880
962;55;0;22/04/2021;SESA679880
1099;54;0;22/04/2021;SESA679880
1236;53;0;22/04/2021;SESA679880
1373;52;0;22/04/2021;SESA679880
1510;51;0;22/04/2021;SESA679880
1647;50;0;22/04/2021;SESA679880
1784;49;0;22/04/2021;SESA679880
1921;48;0;22/04/2021;SESA679880
2059;47;0;22/04/2021;SESA679880
2196;46;0;22/04/2021;SESA679880
2336;45;0;22/04/2021;SESA679880
2473;44;0;22/04/2021;SESA679880
2610;43;0;22/04/2021;SESA679880
2747;42;0;22/04/2021;SESA679880
2884;41;0;22/04/2021;SESA679880
3021;40;0;22/04/2021;SESA679880
3158;39;0;22/04/2021;SESA679880
3295;38;1;22/04/2021;SESA679880
3432;37;0;22/04/2021;SESA679880
3570;36;1;22/04/2021;SESA679880
3708;35;0;22/04/2021;SESA679880
139;61;0;22/04/2021;SESA654374
276;60;0;22/04/2021;SESA654374
413;59;0;22/04/2021;SESA654374
550;58;0;22/04/2021;SESA654374
687;57;0;22/04/2021;SESA654374
824;56;0;22/04/2021;SESA654374
961;55;0;22/04/2021;SESA654374
1098;54;1;22/04/2021;SESA654374
1235;53;0;22/04/2021;SESA654374
1372;52;0;22/04/2021;SESA654374
1509;51;0;22/04/2021;SESA654374
1646;50;0;22/04/2021;SESA654374
1783;49;0;22/04/2021;SESA654374
1920;48;0;22/04/2021;SESA654374
2058;47;0;22/04/2021;SESA654374
2195;46;0;22/04/2021;SESA654374
2335;45;0;22/04/2021;SESA654374
2472;44;0;22/04/2021;SESA654374
2609;43;0;22/04/2021;SESA654374
2746;42;0;22/04/2021;SESA654374
2883;41;0;22/04/2021;SESA654374
3020;40;0;22/04/2021;SESA654374
3157;39;0;22/04/2021;SESA654374
3294;38;0;22/04/2021;SESA654374
3431;37;0;22/04/2021;SESA654374
3569;36;1;22/04/2021;SESA654374
3707;35;0;22/04/2021;SESA654374
6;64;1;07/04/2023;SESA98385
8;63;1;06/04/2023;SESA98385
138;61;1;22/04/2021;SESA98385
275;60;0;22/04/2021;SESA98385
412;59;0;22/04/2021;SESA98385
549;58;0;22/04/2021;SESA98385
686;57;0;22/04/2021;SESA98385
823;56;0;22/04/2021;SESA98385
960;55;0;22/04/2021;SESA98385
1097;54;1;22/04/2021;SESA98385
1234;53;0;22/04/2021;SESA98385
1371;52;1;06/04/2023;SESA98385
